Date,InBedMin,DeepSleepMin,LightSleepMin,SleepStart,SleepEnd,AwakeMin,DailyDistanceMeter,DailySteps,DailyBurnCalories,WalkDistance,WalkTimeMin,WalkBurnCalories,RunDistanceMeter,RunTimeMin,RunBurnCalories,WalkRunSeconds,DateUS,Activity,BedHour,BedMinute,AwakeHour,AwakeMinute,DateUnix,SleepStartUnix,SleepEndUnix,WalkStart,WalkEnd,RunkEnd
"2015-06-01 ",0,0,0,"2015-05-31 17:00:00","2015-05-31 17:00:00",0,3229,4842,201,3163,64,197,66,1,4,3900,"Jun 01, 2015","Daily Activity",17,00,17,00,1433134800,1433109600,1433109600,1433163600,1433167440,1433167500
"2015-06-02 ",311,168,143,"2015-06-01 18:14:00","2015-06-01 23:29:00",4,9013,13336,555,8735,181,539,278,3,16,11040,"Jun 02, 2015","Daily Activity",18,14,23,29,1433221200,1433200440,1433200440,1433250000,1433260860,1433261040
"2015-06-03 ",360,187,173,"2015-06-02 19:04:00","2015-06-03 01:06:00",2,9497,14111,588,9171,188,568,326,5,20,11580,"Jun 03, 2015","Daily Activity",19,04,01,06,1433307600,1433289840,1433289840,1433336400,1433347680,1433347980
"2015-06-04 ",471,227,244,"2015-06-03 17:00:00","2015-06-04 00:51:00",0,7806,11694,494,7429,160,470,377,5,24,9900,"Jun 04, 2015","Daily Activity",17,00,00,51,1433394000,1433368800,1433368800,1433422800,1433432400,1433432700
"2015-06-05 ",252,110,142,"2015-06-04 19:07:00","2015-06-04 23:19:00",0,10363,14952,621,9895,184,593,468,5,28,11340,"Jun 05, 2015","Daily Activity",19,07,23,19,1433480400,1433462820,1433462820,1433509200,1433520240,1433520540
"2015-06-06 ",337,237,100,"2015-06-05 19:24:00","2015-06-06 01:02:00",1,9918,14436,607,9623,191,589,295,3,18,11640,"Jun 06, 2015","Daily Activity",19,24,01,02,1433566800,1433550240,1433550240,1433595600,1433607060,1433607240
"2015-06-07 ",478,279,199,"2015-06-06 21:30:00","2015-06-07 06:22:00",54,5384,8066,336,5142,111,322,242,3,14,6840,"Jun 07, 2015","Daily Activity",21,30,06,22,1433653200,1433644200,1433644200,1433682000,1433688660,1433688840
"2015-06-08 ",455,203,252,"2015-06-07 18:00:00","2015-06-08 01:36:00",1,6645,9864,410,6328,131,392,317,3,18,8040,"Jun 08, 2015","Daily Activity",18,00,01,36,1433739600,1433718000,1433718000,1433768400,1433776260,1433776440
"2015-06-09 ",581,244,337,"2015-06-08 23:39:00","2015-06-09 09:32:00",12,7430,11014,457,7125,144,439,305,3,18,8820,"Jun 09, 2015","Daily Activity",23,39,09,32,1433826000,1433824740,1433824740,1433854800,1433863440,1433863620
"2015-06-10 ",0,0,0,"2015-06-09 22:00:00","2015-06-09 22:00:00",0,5049,7430,311,4834,110,299,215,2,12,6720,"Jun 10, 2015","Daily Activity",22,00,22,00,1433912400,1433905200,1433905200,1433941200,1433947800,1433947920
